date,value
2021-01-01,26.6
2021-01-02,26.2
2021-01-03,25.6
2021-01-04,24.9
2021-01-05,24.3
2021-01-06,23.8
2021-01-07,23.1
2021-01-08,22.4
2021-01-09,21.6
2021-01-10,20.9
2021-01-11,20.3
2021-01-12,19.9
2021-01-13,19.4
2021-01-14,19
2021-01-15,18.6
2021-01-16,18.5
2021-01-17,18.5
2021-01-18,18.1
2021-01-19,17.8
2021-01-20,17.5
2021-01-21,17.3
2021-01-22,17.1
2021-01-23,16.7
2021-01-24,16.3
2021-01-25,15.9
2021-01-26,15.7
2021-01-27,15.5
2021-01-28,15.2
2021-01-29,14.8
2021-01-30,14.5
2021-01-31,14.1
2021-02-01,13.8
2021-02-02,13.6
2021-02-03,13.3
2021-02-04,13
2021-02-05,13
2021-02-06,13.4
2021-02-07,13.6
2021-02-08,13.4
2021-02-09,13.1
2021-02-10,13
2021-02-11,12.8
2021-02-12,12.6
2021-02-13,12.4
2021-02-14,12.3
2021-02-15,12.2
2021-02-16,16.6
2021-02-17,21
2021-02-18,20
2021-02-19,20.5
2021-02-20,19.9
2021-02-21,18
2021-02-22,17
2021-02-23,17.5
2021-02-24,17.5
2021-02-25,16.4
2021-02-26,15.4
2021-02-27,14.8
2021-02-28,14.4
2021-03-01,17.1
2021-03-02,20.5
2021-03-03,20.4
2021-03-04,19.3
2021-03-05,18.2
2021-03-06,17.3
2021-03-07,16.6
2021-03-08,16
2021-03-09,15.4
2021-03-10,15
2021-03-11,15.4
2021-03-12,23
2021-03-13,29.1
2021-03-14,29.1
2021-03-15,28.6
2021-03-16,28.1
2021-03-17,27.3
2021-03-18,26.7
2021-03-19,25.8
2021-03-20,25.1
2021-03-21,24.8
2021-03-22,25
2021-03-23,26.4
2021-03-24,35.1
2021-03-25,48.5
2021-03-26,61.8
2021-03-27,72.3
2021-03-28,79.6
2021-03-29,90.1
2021-03-30,94.5
2021-03-31,97.8
2021-04-01,99.4
2021-04-02,98.2
2021-04-03,95.9
2021-04-04,83.1
2021-04-05,69.5
2021-04-06,54.6
2021-04-07,46.6
2021-04-08,47.1
2021-04-09,40.9
2021-04-10,35.9
2021-04-11,37.2
2021-04-12,39
2021-04-13,40.1
2021-04-14,40.7
2021-04-15,33.2
2021-04-16,27.5
2021-04-17,27.6
2021-04-18,27.6
2021-04-19,27.6
2021-04-20,27.8
2021-04-21,27.7
2021-04-22,25.2
2021-04-23,20.6
2021-04-24,18.2
2021-04-25,18.3
2021-04-26,17.8
2021-04-27,18.2
2021-04-28,18.9
2021-04-29,19.7
2021-04-30,20.9
2021-05-01,21.7
2021-05-02,22.3
2021-05-03,23.1
2021-05-04,23.9
2021-05-05,33.5
2021-05-06,39.4
2021-05-07,38.4
2021-05-08,37.4
2021-05-09,35.9
2021-05-10,28.5
2021-05-11,20.8
2021-05-12,21.5
2021-05-13,21.6
2021-05-14,21.2
2021-05-15,20.7
2021-05-16,20.2
2021-05-17,16.9
2021-05-18,11.7
2021-05-19,11.4
2021-05-20,11.2
2021-05-21,11
2021-05-22,10.9
2021-05-23,11.1
2021-05-24,10.8
2021-05-25,10.6
2021-05-26,10.5
2021-05-27,9.11
2021-05-28,6.77
2021-05-29,6.2
2021-05-30,6.21
2021-05-31,6.19
2021-06-01,4.48
2021-06-02,2.26
2021-06-03,2.34
2021-06-04,2.45
2021-06-05,2.53
2021-06-06,2.61
2021-06-07,2.66
2021-06-08,2.68
2021-06-09,2.73
2021-06-10,2.69
2021-06-11,2.69
2021-06-12,2.7
2021-06-13,2.68
2021-06-14,2.7
2021-06-15,3.29
2021-06-16,3.62
2021-06-17,3.48
2021-06-18,3.48
2021-06-19,3.64
2021-06-20,3.63
2021-06-21,3.59
2021-06-22,4.07
2021-06-23,4.27
2021-06-24,4.8
2021-06-25,5.13
2021-06-26,6.62
2021-06-27,11.3
2021-06-28,21.2
2021-06-29,23.6
2021-06-30,22.9
2021-07-01,21.7
2021-07-02,20.4
2021-07-03,19.4
2021-07-04,18.5
2021-07-05,18.2
2021-07-06,18.9
2021-07-07,19.4
2021-07-08,28.7
2021-07-09,42.2
2021-07-10,47.1
2021-07-11,43.5
