date,value
2021-01-01,10.5
2021-01-02,10
2021-01-03,9.49
2021-01-04,8.97
2021-01-05,8.45
2021-01-06,7.92
2021-01-07,7.44
2021-01-08,7.08
2021-01-09,6.87
2021-01-10,6.73
2021-01-11,6.6
2021-01-12,6.46
2021-01-13,6.33
2021-01-14,6.21
2021-01-15,6.13
2021-01-16,6.06
2021-01-17,5.97
2021-01-18,5.87
2021-01-19,5.75
2021-01-20,5.62
2021-01-21,5.49
2021-01-22,5.36
2021-01-23,5.15
2021-01-24,4.96
2021-01-25,4.9
2021-01-26,4.88
2021-01-27,4.9
2021-01-28,4.87
2021-01-29,4.83
2021-01-30,4.79
2021-01-31,4.75
2021-02-01,4.7
2021-02-02,4.66
2021-02-03,4.62
2021-02-04,4.58
2021-02-05,4.55
2021-02-06,4.79
2021-02-07,4.95
2021-02-08,4.89
2021-02-09,4.75
2021-02-10,4.61
2021-02-11,4.49
2021-02-12,4.42
2021-02-13,4.39
2021-02-14,4.36
2021-02-15,4.33
2021-02-16,4.29
2021-02-17,4.26
2021-02-18,4.23
2021-02-19,4.2
2021-02-20,4.17
2021-02-21,4.14
2021-02-22,4.46
2021-02-23,4.37
2021-02-24,4.31
2021-02-25,4.88
2021-02-26,4.48
2021-02-27,4.77
2021-02-28,4.95
2021-03-01,5.75
2021-03-02,6.37
2021-03-03,6.26
2021-03-04,6.03
2021-03-05,5.81
2021-03-06,5.64
2021-03-07,5.48
2021-03-08,5.35
2021-03-09,5.28
2021-03-10,5.29
2021-03-11,6.46
2021-03-12,10.7
2021-03-13,15
2021-03-14,15.7
2021-03-15,14.6
2021-03-16,13.2
2021-03-17,11.9
2021-03-18,11
2021-03-19,10.6
2021-03-20,10.1
2021-03-21,9.91
2021-03-22,10.9
2021-03-23,14.6
2021-03-24,22.7
2021-03-25,42.3
2021-03-26,62.1
2021-03-27,75
2021-03-28,64.5
2021-03-29,64
2021-03-30,56.1
2021-03-31,53.9
2021-04-01,55.7
2021-04-02,46.6
2021-04-03,36.8
2021-04-04,30.4
2021-04-05,27.1
2021-04-06,25.2
2021-04-07,25.8
2021-04-08,27.6
2021-04-09,26.9
2021-04-10,25
2021-04-11,22.5
2021-04-12,20.7
2021-04-13,18.3
2021-04-14,16.2
2021-04-15,15
2021-04-16,14.7
2021-04-17,14.2
2021-04-18,13.3
2021-04-19,12.4
2021-04-20,12.3
2021-04-21,11.8
2021-04-22,10.8
2021-04-23,9.94
2021-04-24,9.31
2021-04-25,8.91
2021-04-26,8.7
2021-04-27,8.36
2021-04-28,8.86
2021-04-29,9.87
2021-04-30,11.8
2021-05-01,14.5
2021-05-02,14.5
2021-05-03,13.7
2021-05-04,14.2
2021-05-05,15.5
2021-05-06,15.9
2021-05-07,14.8
2021-05-08,13.4
2021-05-09,12.1
2021-05-10,10.9
2021-05-11,10.3
2021-05-12,10.1
2021-05-13,9.48
2021-05-14,8.63
2021-05-15,7.81
2021-05-16,7.29
2021-05-17,6.96
2021-05-18,6.57
2021-05-19,6.19
2021-05-20,5.89
2021-05-21,5.62
2021-05-22,5.45
2021-05-23,5.38
2021-05-24,5.01
2021-05-25,4.7
2021-05-26,4.63
2021-05-27,4.54
2021-05-28,4.26
2021-05-29,3.92
2021-05-30,3.69
2021-05-31,3.45
2021-06-01,3.18
2021-06-02,2.91
2021-06-03,2.77
2021-06-04,2.7
2021-06-05,2.56
2021-06-06,2.5
2021-06-07,2.39
2021-06-08,2.31
2021-06-09,2.23
2021-06-10,2.08
2021-06-11,1.98
2021-06-12,1.89
2021-06-13,1.79
2021-06-14,1.78
2021-06-15,1.98
2021-06-16,2.05
2021-06-17,1.88
2021-06-18,1.81
2021-06-19,2.12
2021-06-20,2.05
2021-06-21,1.94
2021-06-22,1.88
2021-06-23,1.8
2021-06-24,1.72
2021-06-25,1.72
2021-06-26,2.95
2021-06-27,6.79
2021-06-28,7.54
2021-06-29,7.55
2021-06-30,8.97
2021-07-01,10.2
2021-07-02,9.79
2021-07-03,8.56
2021-07-04,7.31
2021-07-05,6.9
2021-07-06,8.57
2021-07-07,7.69
2021-07-08,9.4
2021-07-09,14.9
2021-07-10,15.1
2021-07-11,13.3
2021-07-12,11.1
2021-07-13,10.9
2021-07-14,16.2
2021-07-15,20.6
2021-07-16,47.7
2021-07-17,38.6
2021-07-18,27.9
2021-07-19,21.1
2021-07-20,18.3
2021-07-21,16.8
2021-07-22,14
2021-07-23,12
2021-07-24,10.7
2021-07-25,13.4
2021-07-26,14
2021-07-27,13.6
2021-07-28,14
2021-07-29,13.7
2021-07-30,13.9
2021-07-31,12.6
2021-08-01,11.6
2021-08-02,10.9
2021-08-03,9.8
2021-08-04,8.87
2021-08-05,8.01
2021-08-06,7.2
2021-08-07,7.21
2021-08-08,7.54
2021-08-09,7.76
2021-08-10,8.19
2021-08-11,9.68
2021-08-12,10.7
2021-08-13,10.6
2021-08-14,9.44
2021-08-15,8.14
2021-08-16,7.15
2021-08-17,6.41
2021-08-18,5.94
2021-08-19,5.61
2021-08-20,5.1
2021-08-21,4.57
2021-08-22,4.21
2021-08-23,3.99
2021-08-24,3.78
2021-08-25,3.51
2021-08-26,3.24
2021-08-27,3.03
2021-08-28,2.93
2021-08-29,3.22
2021-08-30,4.15
2021-08-31,3.97
2021-09-01,3.51
2021-09-02,3.13
2021-09-03,2.88
2021-09-04,2.7
2021-09-05,2.88
2021-09-06,3.07
2021-09-07,2.95
2021-09-08,3.06
2021-09-09,2.9
2021-09-10,2.66
2021-09-11,2.49
2021-09-12,2.47
2021-09-13,2.41
2021-09-14,2.32
2021-09-15,2.58
2021-09-16,2.54
2021-09-17,2.47
2021-09-18,2.62
2021-09-19,2.6
2021-09-20,2.46
2021-09-21,2.42
2021-09-22,6.64
2021-09-23,20.5
2021-09-24,32.7
2021-09-25,28.2
2021-09-26,26.3
2021-09-27,23.8
2021-09-28,19.7
2021-09-29,16
2021-09-30,14
2021-10-01,12.3
2021-10-02,11.9
2021-10-03,21.4
2021-10-04,32.1
2021-10-05,27
2021-10-06,20.9
2021-10-07,17.1
2021-10-08,14.6
2021-10-09,13
2021-10-10,16.1
2021-10-11,22.7
2021-10-12,22.6
2021-10-13,29.8
2021-10-14,42.4
2021-10-15,35.5
2021-10-16,29.4
2021-10-17,33.1
2021-10-18,31.3
2021-10-19,24.6
2021-10-20,20.1
2021-10-21,19.3
2021-10-22,26.9
2021-10-23,28.1
2021-10-24,24
2021-10-25,21.5
2021-10-26,19.5
2021-10-27,17.7
2021-10-28,16
2021-10-29,14.5
2021-10-30,13.4
2021-10-31,12.3
2021-11-01,11.7
2021-11-02,11.7
2021-11-03,11
2021-11-04,10.2
2021-11-05,9.61
