date,value
2021-01-01,24.8
2021-01-02,28.3
2021-01-03,27.5
2021-01-04,26.6
2021-01-05,25.2
2021-01-06,20.8
2021-01-07,3.7
2021-01-08,2.09
2021-01-09,1.99
2021-01-10,1.96
2021-01-11,2.11
2021-01-12,4.84
2021-01-13,5.2
2021-01-14,4.87
2021-01-15,2.41
2021-01-16,1.93
2021-01-17,1.94
2021-01-18,1.88
2021-01-19,1.85
2021-01-20,1.88
2021-01-21,1.88
2021-01-22,1.95
2021-01-23,1.94
2021-01-24,2.03
2021-01-25,1.9
2021-01-26,1.77
2021-01-27,1.75
2021-01-28,1.71
2021-01-29,1.67
2021-01-30,1.64
2021-01-31,1.59
2021-02-01,1.56
2021-02-02,1.53
2021-02-03,1.5
2021-02-04,1.48
2021-02-05,1.5
2021-02-06,1.54
2021-02-07,1.58
2021-02-08,1.65
2021-02-09,1.63
2021-02-10,1.63
2021-02-11,1.62
2021-02-12,1.57
2021-02-13,1.54
2021-02-14,1.53
2021-02-15,1.52
2021-02-16,1.55
2021-02-17,1.51
2021-02-18,1.47
2021-02-19,1.45
2021-02-20,1.44
2021-02-21,1.44
2021-02-22,1.47
2021-02-23,1.48
2021-02-24,1.47
2021-02-25,1.47
2021-02-26,1.45
2021-02-27,1.47
2021-02-28,1.47
2021-03-01,1.57
2021-03-02,1.6
2021-03-03,1.6
2021-03-04,1.59
2021-03-05,1.58
2021-03-06,1.55
2021-03-07,1.53
2021-03-08,1.52
2021-03-09,1.55
2021-03-10,1.61
2021-03-11,2.14
2021-03-12,5.22
2021-03-13,15.5
2021-03-14,16.3
2021-03-15,17.1
2021-03-16,17.6
2021-03-17,17.7
2021-03-18,17.7
2021-03-19,17
2021-03-20,16.9
2021-03-21,16.5
2021-03-22,17
2021-03-23,18.7
2021-03-24,25.7
2021-03-25,43.6
2021-03-26,53.6
2021-03-27,68.1
2021-03-28,75.5
2021-03-29,80.5
2021-03-30,87.2
2021-03-31,91.8
2021-04-01,94.8
2021-04-02,96.8
2021-04-03,97.9
2021-04-04,93.9
2021-04-05,86.4
2021-04-06,77.5
2021-04-07,51.6
2021-04-08,27.3
2021-04-09,16
2021-04-10,14.8
2021-04-11,14.7
2021-04-12,15.1
2021-04-13,15
2021-04-14,15
2021-04-15,14.6
2021-04-16,14.6
2021-04-17,14.4
2021-04-18,14.2
2021-04-19,14
2021-04-20,13.8
2021-04-21,13.9
2021-04-22,13.8
2021-04-23,13.7
2021-04-24,13.7
2021-04-25,13.6
2021-04-26,13.5
2021-04-27,13.5
2021-04-28,14.4
2021-04-29,14.7
2021-04-30,14.6
2021-05-01,14.2
2021-05-02,13.9
2021-05-03,14
2021-05-04,14.1
2021-05-05,14
2021-05-06,13.7
2021-05-07,12.8
2021-05-08,12.7
2021-05-09,12.8
2021-05-10,12.8
2021-05-11,12.9
2021-05-12,13.4
2021-05-13,13.5
2021-05-14,13.4
2021-05-15,13.3
2021-05-16,13.2
2021-05-17,13.2
2021-05-18,13.2
2021-05-19,13.2
2021-05-20,13.1
2021-05-21,13.2
2021-05-22,13.1
2021-05-23,13.2
2021-05-24,13.2
2021-05-25,13
2021-05-26,12.9
2021-05-27,12.9
2021-05-28,12.8
2021-05-29,12.8
2021-05-30,12.8
2021-05-31,12.8
2021-06-01,12.8
2021-06-02,12.1
2021-06-03,9.3
2021-06-04,10.2
2021-06-05,10.3
2021-06-06,10.5
2021-06-07,10.4
2021-06-08,10.4
2021-06-09,10.4
2021-06-10,10.4
2021-06-11,8.96
2021-06-12,1.81
2021-06-13,0.863
2021-06-14,0.603
2021-06-15,0.475
2021-06-16,0.406
2021-06-17,0.385
2021-06-18,0.398
2021-06-19,0.406
2021-06-20,0.402
2021-06-21,0.408
2021-06-22,0.394
2021-06-23,0.373
2021-06-24,0.367
2021-06-25,0.41
2021-06-26,0.929
2021-06-27,2.8
2021-06-28,1.97
2021-06-29,1.46
2021-06-30,1.29
2021-07-01,1.16
2021-07-02,1.1
2021-07-03,1.02
2021-07-04,0.917
2021-07-05,0.838
2021-07-06,0.932
2021-07-07,1.32
2021-07-08,15.9
2021-07-09,47.2
2021-07-10,73.5
2021-07-11,74.1
2021-07-12,70.3
2021-07-13,69.6
2021-07-14,74.4
2021-07-15,70.9
2021-07-16,66.8
2021-07-17,70.9
2021-07-18,76
2021-07-19,71.6
2021-07-20,72.3
2021-07-21,72.1
2021-07-22,69.4
2021-07-23,67.3
2021-07-24,65.7
2021-07-25,64.4
2021-07-26,53.3
2021-07-27,20.4
2021-07-28,10.9
2021-07-29,9.7
2021-07-30,2.99
2021-07-31,1.86
2021-08-01,2
2021-08-02,1.91
2021-08-03,1.84
2021-08-04,1.8
2021-08-05,1.69
2021-08-06,1.57
2021-08-07,1.56
2021-08-08,1.5
2021-08-09,1.61
2021-08-10,1.54
2021-08-11,1.48
2021-08-12,1.44
2021-08-13,1.34
2021-08-14,1.21
2021-08-15,1.1
2021-08-16,1.02
2021-08-17,0.958
2021-08-18,0.904
2021-08-19,0.849
2021-08-20,0.783
2021-08-21,0.775
2021-08-22,0.775
2021-08-23,0.735
2021-08-24,0.685
2021-08-25,0.685
2021-08-26,0.695
2021-08-27,0.696
2021-08-28,0.719
2021-08-29,0.94
2021-08-30,1.13
2021-08-31,0.984
2021-09-01,0.853
2021-09-02,0.777
2021-09-03,0.745
2021-09-04,0.737
2021-09-05,0.819
2021-09-06,0.926
2021-09-07,0.992
2021-09-08,1.41
2021-09-09,1.37
2021-09-10,1.2
2021-09-11,1.11
2021-09-12,1.18
2021-09-13,1.12
2021-09-14,1.08
2021-09-15,1.08
2021-09-16,1.01
2021-09-17,0.94
2021-09-18,0.898
2021-09-19,0.858
2021-09-20,0.826
2021-09-21,0.847
2021-09-22,3.2
2021-09-23,13.4
2021-09-24,15.7
2021-09-25,26
2021-09-26,56.5
2021-09-27,92.6
2021-09-28,102
2021-09-29,99.3
2021-09-30,96.9
2021-10-01,95.6
2021-10-02,93.3
2021-10-03,91.5
2021-10-04,90.5
2021-10-05,89.7
2021-10-06,84.7
2021-10-07,76.8
2021-10-08,63
2021-10-09,66.1
2021-10-10,65.7
2021-10-11,66.5
2021-10-12,64.7
2021-10-13,56.7
2021-10-14,44.1
2021-10-15,47.8
2021-10-16,50.2
2021-10-17,49.9
2021-10-18,53.2
2021-10-19,52.9
2021-10-20,52.4
2021-10-21,53.9
2021-10-22,54.2
2021-10-23,53.8
2021-10-24,53.7
2021-10-25,53.1
2021-10-26,52.7
2021-10-27,43.5
2021-10-28,16.3
2021-10-29,8.45
2021-10-30,5.8
2021-10-31,5.57
2021-11-01,4.82
2021-11-02,8.27
2021-11-03,4.18
2021-11-04,3.17
2021-11-05,2.95
2021-11-06,2.73
2021-11-07,2.5
2021-11-08,2.34
2021-11-09,2.19
2021-11-10,2.05
2021-11-11,1.94
2021-11-12,1.88
2021-11-13,1.91
2021-11-14,2.3
2021-11-15,3.1
2021-11-16,3
2021-11-17,2.83
2021-11-18,4.13
2021-11-19,4.21
2021-11-20,3.85
2021-11-21,3.7
2021-11-22,3.99
2021-11-23,3.8
2021-11-24,3.47
2021-11-25,3.35
2021-11-26,3.33
2021-11-27,3.08
2021-11-28,2.82
2021-11-29,2.63
2021-11-30,2.47
2021-12-01,2.4
2021-12-02,2.55
2021-12-03,2.9
2021-12-04,2.76
2021-12-05,2.69
2021-12-06,2.98
2021-12-07,2.92
2021-12-08,2.77
2021-12-09,2.69
2021-12-10,2.6
2021-12-11,3.49
2021-12-12,4.91
2021-12-13,5.59
2021-12-14,12.4
2021-12-15,16.1
2021-12-16,29
2021-12-17,38.2
2021-12-18,54.1
2021-12-19,54.2
2021-12-20,53.3
2021-12-21,52.5
2021-12-22,51.4
2021-12-23,47
2021-12-24,47
2021-12-25,48.4
2021-12-26,47.1
2021-12-27,44.5
2021-12-28,45.2
2021-12-29,44.4
2021-12-30,36.3
2021-12-31,25.4
2022-01-01,25.9
2022-01-02,26.1
2022-01-03,21.2
2022-01-04,12.9
2022-01-05,3.95
2022-01-06,2.82
2022-01-07,3.53
2022-01-08,1.87
2022-01-09,2.85
2022-01-10,2.64
2022-01-11,1.92
2022-01-12,1.48
2022-01-13,1.38
2022-01-14,1.35
2022-01-15,1.31
2022-01-16,1.28
2022-01-17,1.27
2022-01-18,1.27
2022-01-19,1.29
2022-01-20,1.28
2022-01-21,1.25
2022-01-22,1.23
2022-01-23,1.26
2022-01-24,1.25
2022-01-25,1.23
2022-01-26,1.2
2022-01-27,1.19
2022-01-28,1.18
2022-01-29,1.15
2022-01-30,1.14
2022-01-31,1.12
2022-02-01,1.12
2022-02-02,1.23
2022-02-03,1.29
2022-02-04,1.22
2022-02-05,1.19
2022-02-06,1.15
2022-02-07,1.12
2022-02-08,1.12
2022-02-09,1.11
2022-02-10,1.1
2022-02-11,1.11
2022-02-12,1.13
2022-02-13,1.1
2022-02-14,1.08
2022-02-15,1.05
2022-02-16,1.03
2022-02-17,1.2
2022-02-18,1.33
2022-02-19,1.43
2022-02-20,1.4
2022-02-21,1.35
2022-02-22,1.42
2022-02-23,1.79
2022-02-24,1.81
2022-02-25,1.84
2022-02-26,1.82
2022-02-27,1.79
2022-02-28,1.74
2022-03-01,1.73
2022-03-02,1.7
2022-03-03,1.68
2022-03-04,1.59
2022-03-05,1.55
2022-03-06,1.55
2022-03-07,1.7
2022-03-08,1.74
2022-03-09,1.66
2022-03-10,1.62
2022-03-11,1.6
2022-03-12,1.56
2022-03-13,1.52
2022-03-14,1.5
2022-03-15,1.47
2022-03-16,1.44
2022-03-17,1.57
2022-03-18,1.97
2022-03-19,2.64
2022-03-20,4.17
2022-03-21,5.12
2022-03-22,9.23
2022-03-23,20
2022-03-24,37.2
2022-03-25,50.2
2022-03-26,51.4
2022-03-27,54.6
2022-03-28,55.2
2022-03-29,56.3
2022-03-30,56.6
2022-03-31,57.9
2022-04-01,60.3
2022-04-02,64.4
2022-04-03,66
2022-04-04,60
2022-04-05,46.5
2022-04-06,43.7
2022-04-07,25
2022-04-08,17
2022-04-09,15.6
2022-04-10,15.1
2022-04-11,14.4
2022-04-12,13.4
2022-04-13,12.3
2022-04-14,13.6
2022-04-15,16.2
2022-04-16,16.4
2022-04-17,14.3
2022-04-18,11.6
2022-04-19,10.1
2022-04-20,20.4
2022-04-21,36.2
2022-04-22,44.1
2022-04-23,47.8
2022-04-24,65.7
2022-04-25,71.3
2022-04-26,73.9
2022-04-27,80.4
2022-04-28,97.6
2022-04-29,100
2022-04-30,99.7
2022-05-01,98.8
2022-05-02,97.5
2022-05-03,96.1
2022-05-04,94.6
2022-05-05,83.1
2022-05-06,58.9
2022-05-07,44.6
2022-05-08,41.3
2022-05-09,39.8
2022-05-10,35.1
2022-05-11,25
2022-05-12,15.7
2022-05-13,15.3
2022-05-14,15.2
2022-05-15,15.1
2022-05-16,15.1
2022-05-17,15.2
2022-05-18,15.1
2022-05-19,15.1
2022-05-20,15
2022-05-21,15
2022-05-22,15.1
2022-05-23,14.9
2022-05-24,14.9
2022-05-25,15
2022-05-26,15.3
2022-05-27,16
2022-05-28,15.6
2022-05-29,15.3
2022-05-30,15.1
2022-05-31,15
2022-06-01,15.9
2022-06-02,15.6
2022-06-03,30.6
2022-06-04,43.5
2022-06-05,39.4
2022-06-06,46
2022-06-07,51
2022-06-08,51.5
2022-06-09,53.7
2022-06-10,62.5
2022-06-11,84
2022-06-12,85.9
2022-06-13,83.2
2022-06-14,84.1
2022-06-15,83.2
2022-06-16,71.5
2022-06-17,44
2022-06-18,38.2
2022-06-19,34.8
2022-06-20,32.2
2022-06-21,19.6
2022-06-22,3.69
2022-06-23,1.51
2022-06-24,1.53
2022-06-25,1.54
2022-06-26,1.47
2022-06-27,1.39
2022-06-28,1.29
2022-06-29,1.21
2022-06-30,1.15
2022-07-01,1.1
2022-07-02,1.06
2022-07-03,1.03
2022-07-04,0.961
2022-07-05,0.905
2022-07-06,0.876
2022-07-07,0.833
2022-07-08,0.784
2022-07-09,0.731
2022-07-10,0.677
2022-07-11,0.653
2022-07-12,0.647
2022-07-13,0.645
2022-07-14,0.68
2022-07-15,0.709
2022-07-16,0.732
2022-07-17,0.749
2022-07-18,0.777
2022-07-19,0.8
2022-07-20,0.821
2022-07-21,0.862
2022-07-22,0.889
2022-07-23,0.869
2022-07-24,0.85
2022-07-25,0.826
2022-07-26,0.802
2022-07-27,0.782
2022-07-28,0.768
2022-07-29,0.762
2022-07-30,0.749
2022-07-31,0.737
2022-08-01,0.737
2022-08-02,0.748
2022-08-03,0.759
2022-08-04,0.772
2022-08-05,0.775
2022-08-06,0.763
2022-08-07,0.758
2022-08-08,0.785
2022-08-09,0.843
2022-08-10,0.868
2022-08-11,0.882
2022-08-12,0.884
2022-08-13,0.881
2022-08-14,0.883
2022-08-15,0.886
2022-08-16,0.847
2022-08-17,0.837
2022-08-18,0.824
2022-08-19,0.803
2022-08-20,0.786
2022-08-21,0.777
2022-08-22,0.771
2022-08-23,0.774
2022-08-24,0.771
2022-08-25,0.768
2022-08-26,0.88
2022-08-27,0.926
2022-08-28,0.859
2022-08-29,0.804
2022-08-30,0.758
2022-08-31,0.699
2022-09-01,0.65
2022-09-02,0.644
2022-09-03,0.632
2022-09-04,0.614
2022-09-05,0.594
2022-09-06,0.569
2022-09-07,0.547
2022-09-08,0.524
2022-09-09,0.504
2022-09-10,0.485
2022-09-11,0.472
2022-09-12,0.476
2022-09-13,0.521
2022-09-14,0.538
2022-09-15,0.495
2022-09-16,0.465
2022-09-17,0.479
2022-09-18,0.503
2022-09-19,0.552
2022-09-20,0.606
2022-09-21,0.633
2022-09-22,0.634
2022-09-23,0.598
2022-09-24,0.6
2022-09-25,0.616
2022-09-26,0.666
2022-09-27,0.716
2022-09-28,0.753
2022-09-29,0.784
2022-09-30,0.787
2022-10-01,0.745
2022-10-02,0.716
2022-10-03,0.705
2022-10-04,0.685
2022-10-05,0.685
2022-10-06,0.691
2022-10-07,0.691
2022-10-08,0.695
2022-10-09,0.703
2022-10-10,0.693
2022-10-11,0.683
2022-10-12,0.674
2022-10-13,0.751
2022-10-14,0.933
2022-10-15,0.988
2022-10-16,1
2022-10-17,1.02
2022-10-18,1.02
2022-10-19,0.975
2022-10-20,1.03
2022-10-21,1.76
2022-10-22,2.2
2022-10-23,2.35
2022-10-24,2.44
2022-10-25,2.39
2022-10-26,2.19
2022-10-27,2
2022-10-28,2.08
2022-10-29,2.3
2022-10-30,1.76
2022-10-31,1.47
2022-11-01,1.45
2022-11-02,1.45
2022-11-03,1.42
2022-11-04,1.47
2022-11-05,1.5
2022-11-06,1.55
2022-11-07,1.49
2022-11-08,1.33
2022-11-09,1.19
2022-11-10,1.07
2022-11-11,1.04
2022-11-12,1.02
2022-11-13,0.921
2022-11-14,0.868
2022-11-15,0.817
2022-11-16,0.813
2022-11-17,0.815
2022-11-18,0.85
2022-11-19,0.833
2022-11-20,0.891
2022-11-21,0.897
2022-11-22,0.886
2022-11-23,0.876
2022-11-24,0.873
2022-11-25,1.01
2022-11-26,1.18
2022-11-27,1.41
2022-11-28,1.86
2022-11-29,1.93
2022-11-30,2.26
2022-12-01,2.99
2022-12-02,2.94
2022-12-03,3.13
2022-12-04,3.63
2022-12-05,3.46
2022-12-06,3.27
2022-12-07,8.8
2022-12-08,17.2
2022-12-09,13.8
2022-12-10,5.1
2022-12-11,5.83
2022-12-12,5.96
2022-12-13,5.4
2022-12-14,4.14
2022-12-15,3.45
2022-12-16,3.02
2022-12-17,2.03
2022-12-18,1.75
2022-12-19,1.78
2022-12-20,1.72
2022-12-21,1.65
2022-12-22,1.61
2022-12-23,1.73
2022-12-24,2.13
2022-12-25,2.42
2022-12-26,2.55
2022-12-27,2.61
2022-12-28,2.52
2022-12-29,12.4
2022-12-30,34.5
2022-12-31,37.4
2023-01-01,39.8
2023-01-02,39.9
2023-01-03,66.9
2023-01-04,76.6
2023-01-05,90.7
2023-01-06,106
2023-01-07,109
2023-01-08,107
2023-01-09,105
2023-01-10,104
2023-01-11,102
2023-01-12,96
2023-01-13,94.1
2023-01-14,95.3
2023-01-15,90.6
2023-01-16,88.3
2023-01-17,84.1
2023-01-18,81.2
2023-01-19,72.9
2023-01-20,60.6
2023-01-21,51.8
2023-01-22,50.7
2023-01-23,50.6
2023-01-24,46.7
2023-01-25,35.7
2023-01-26,33.7
2023-01-27,34.7
2023-01-28,34.6
2023-01-29,34.2
2023-01-30,33.6
2023-01-31,33
2023-02-01,31.6
2023-02-02,31
2023-02-03,30
2023-02-04,33
2023-02-05,28.6
2023-02-06,28
2023-02-07,28.8
2023-02-08,29.4
2023-02-09,29.1
2023-02-10,20.8
2023-02-11,3.32
2023-02-12,2.09
2023-02-13,1.94
2023-02-14,1.92
2023-02-15,2.63
2023-02-16,12.2
2023-02-17,11.8
2023-02-18,11.5
2023-02-19,11.6
2023-02-20,11.7
2023-02-21,12.1
2023-02-22,12
2023-02-23,11.2
2023-02-24,11.1
2023-02-25,10.6
2023-02-26,10.4
2023-02-27,13.5
2023-02-28,29.6
2023-03-01,29.9
2023-03-02,30.1
2023-03-03,32
2023-03-04,40.5
2023-03-05,40.4
2023-03-06,39.7
2023-03-07,38.9
2023-03-08,38.1
2023-03-09,34.3
2023-03-10,25.2
2023-03-11,12
2023-03-12,12.4
2023-03-13,12.2
2023-03-14,9.87
2023-03-15,2.68
2023-03-16,1.53
2023-03-17,1.82
2023-03-18,2.55
2023-03-19,2.73
2023-03-20,2.67
2023-03-21,2.63
2023-03-22,2.65
2023-03-23,2.8
2023-03-24,5.41
2023-03-25,19.1
2023-03-26,21.8
2023-03-27,27.7
2023-03-28,40.6
2023-03-29,44.3
2023-03-30,62.4
2023-03-31,59.6
2023-04-01,60.1
2023-04-02,62.1
2023-04-03,63.7
2023-04-04,64.5
2023-04-05,78.8
2023-04-06,109
2023-04-07,126
2023-04-08,132
2023-04-09,141
2023-04-10,139
2023-04-11,149
2023-04-12,158
2023-04-13,167
2023-04-14,179
2023-04-15,187
2023-04-16,193
2023-04-17,205
2023-04-18,219
2023-04-19,226
2023-04-20,233
2023-04-21,236
2023-04-22,230
2023-04-23,237
2023-04-24,239
2023-04-25,243
2023-04-26,227
2023-04-27,225
2023-04-28,213
2023-04-29,193
2023-04-30,188
2023-05-01,182
2023-05-02,178
2023-05-03,179
2023-05-04,179
2023-05-05,180
2023-05-06,182
2023-05-07,180
